20071004 00:00,1.41121,1.41501,1.40671,1.41091,0,1.41124,1.41509,1.40676,1.41094,0
20071005 00:00,1.41087,1.41581,1.40336,1.41351,0,1.41089,1.41571,1.40349,1.41349,0
20071007 00:00,1.41373,1.41392,1.40842,1.40943,0,1.41379,1.41399,1.40848,1.40939,0
20071008 00:00,1.40946,1.40962,1.40151,1.40372,0,1.40949,1.40965,1.40158,1.40374,0
20071009 00:00,1.40377,1.41409,1.40211,1.41343,0,1.40378,1.41409,1.40216,1.41347,0
20071010 00:00,1.41345,1.42135,1.41252,1.42098,0,1.41349,1.42138,1.41258,1.42099,0
20071011 00:00,1.42092,1.42412,1.41562,1.41929,0,1.42098,1.42408,1.41568,1.41929,0
20071012 00:00,1.41921,1.42133,1.41542,1.41774,0,1.41929,1.42139,1.41545,1.41779,0
20071014 00:00,1.41631,1.42312,1.41621,1.42282,0,1.41639,1.42318,1.41629,1.42288,0
20071015 00:00,1.42292,1.42431,1.41582,1.41731,0,1.42289,1.42436,1.41589,1.41749,0
20071016 00:00,1.41729,1.41961,1.41441,1.41831,0,1.41747,1.41959,1.41447,1.41831,0
20071017 00:00,1.41829,1.42641,1.41671,1.42551,0,1.41829,1.42637,1.41676,1.42548,0
20071018 00:00,1.42561,1.43192,1.42501,1.42833,0,1.42557,1.43199,1.42503,1.42839,0
20071019 00:00,1.42832,1.43063,1.42451,1.42951,0,1.42838,1.43067,1.4245,1.42959,0
20071021 00:00,1.43331,1.43391,1.42962,1.43021,0,1.43339,1.4339,1.42968,1.43019,0
20071022 00:00,1.43022,1.43111,1.41261,1.42152,0,1.43028,1.43111,1.41266,1.42158,0
20071023 00:00,1.42151,1.42799,1.41882,1.42232,0,1.42154,1.42799,1.41885,1.42238,0
20071024 00:00,1.42231,1.42892,1.42037,1.42781,0,1.42234,1.42891,1.42039,1.42779,0
20071025 00:00,1.42778,1.43752,1.42702,1.43691,0,1.42777,1.43758,1.42708,1.43697,0
20071026 00:00,1.43689,1.43934,1.43562,1.43901,0,1.43689,1.43937,1.43568,1.43909,0
20071028 00:00,1.44074,1.44382,1.44011,1.44212,0,1.44079,1.44387,1.44019,1.44218,0
20071029 00:00,1.44211,1.44311,1.43741,1.44083,0,1.44208,1.44309,1.43749,1.44084,0
20071030 00:00,1.44088,1.44685,1.43853,1.44453,0,1.44089,1.44679,1.43859,1.44459,0
20071031 00:00,1.44451,1.45042,1.44173,1.44303,0,1.44449,1.45045,1.44179,1.44308,0
20071101 00:00,1.44302,1.44783,1.44041,1.44732,0,1.44308,1.44789,1.44047,1.44738,0
20071102 00:00,1.44735,1.45283,1.44476,1.45151,0,1.44738,1.45289,1.44519,1.45149,0
20071104 00:00,1.44951,1.45002,1.44563,1.44724,0,1.44957,1.45008,1.44568,1.44729,0
